record_id,launch_priority,should_publish,confidence,brand,part_type,part_subtype,primary_part_number,alt_part_numbers,oem_equivalent,product_name,compatible_models_text,track_sizes,chassis_mount_notes,serial_notes,position_notes,suggested_price_usd,source_tier,source_files,source_urls,verification_notes,seo_title,seo_h1,meta_description,slug,page_template
UP-0013,2,YES,High,Bobcat,roller,bottom,6693239,7233399,6693239,"Bobcat T550, T590, T650 suspension mount bottom roller ","Bobcat T550, T590, T650 suspension mount bottom roller ",,,,,,Tier 2 - Sales-team researched master,undercarriage_bottom_rollers_sprockets_master_v3.xlsx,https://store.rubbertrax.com/Bobcat-sup-sup-Suspension-Rollers-6693239-16p3071.htm,Later units often use 7233399,Bobcat Bottom Roller 6693239 for Bobcat T550,Bobcat Bottom Roller 6693239 for Bobcat T550,"In-stock Bobcat Bottom Roller 6693239 for Bobcat T550. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by part number, ",bobcat-6693239-bottom-roller,Undercarriage part detail + machine fitment
UP-0015,2,YES,High,Bobcat,roller,bottom,6698047,,6698047,Bobcat T870 bottom roller,T870,,,,,,Tier 2 - Sales-team researched master,undercarriage_bottom_rollers_sprockets_master_v3.xlsx,https://www.rubbertrax.com/rollers,"Sales-team researched. Verify fine details such as serial split, chassis mount, flange style before using hard fitment claims.",Bobcat Bottom Roller 6698047 for Bobcat T870,Bobcat Bottom Roller 6698047 for Bobcat T870,"In-stock Bobcat Bottom Roller 6698047 for Bobcat T870. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by part number, ",bobcat-6698047-bottom-roller,Undercarriage part detail + machine fitment
UP-0012,2,YES,High,Bobcat,roller,bottom,6732901,6689371|6686632,6732901,"Bobcat T140, T180, T190, T200, T250, T300, T320, 864 bottom rollers","T140, T180, T190, T200, T250, T300, T320, 864",,,,,,Tier 2 - Sales-team researched master,undercarriage_bottom_rollers_sprockets_master_v3.xlsx,https://www.rubbertrax.com/rollers,Primary bottom roller PN; others as alternates,Bobcat Bottom Roller 6732901 for Bobcat T140,Bobcat Bottom Roller 6732901 for Bobcat T140,"In-stock Bobcat Bottom Roller 6732901 for Bobcat T140. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by part number, ",bobcat-6732901-bottom-roller,Undercarriage part detail + machine fitment
UP-0016,2,YES,High,Bobcat,roller,bottom,6800510,6533654,6800510,Bobcat 220 / 320 bottom roller,"220, 320",,,,,,Tier 2 - Sales-team researched master,undercarriage_bottom_rollers_sprockets_master_v3.xlsx,https://www.rubbertrax.com/rollers,Alternate OEM 6533654,Bobcat Bottom Roller 6800510 for Bobcat 220,Bobcat Bottom Roller 6800510 for Bobcat 220,"In-stock Bobcat Bottom Roller 6800510 for Bobcat 220. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by part number, m",bobcat-6800510-bottom-roller,Undercarriage part detail + machine fitment
UP-0017,2,YES,High,Bobcat,roller,bottom,6814874,,6814874,Bobcat 320 / 322 mini excavator bottom roller,"320, 322",,,,,,Tier 2 - Sales-team researched master,undercarriage_bottom_rollers_sprockets_master_v3.xlsx,https://www.rubbertrax.com/rollers,"Sales-team researched. Verify fine details such as serial split, chassis mount, flange style before using hard fitment claims.",Bobcat Bottom Roller 6814874 for Bobcat 320,Bobcat Bottom Roller 6814874 for Bobcat 320,"In-stock Bobcat Bottom Roller 6814874 for Bobcat 320. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by part number, m",bobcat-6814874-bottom-roller,Undercarriage part detail + machine fitment
UP-0018,2,YES,High,Bobcat,roller,bottom,6814882,,6814882,"Bobcat 225, 325, 328, 331, 331E, 334, 430 bottom rollers","225, 325, 328, 331, 331E, 334, 430",,,,,,Tier 2 - Sales-team researched master,undercarriage_bottom_rollers_sprockets_master_v3.xlsx,https://www.rubbertrax.com/rollers,Common Bobcat mini excavator roller,Bobcat Bottom Roller 6814882 for Bobcat 225,Bobcat Bottom Roller 6814882 for Bobcat 225,"In-stock Bobcat Bottom Roller 6814882 for Bobcat 225. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by part number, m",bobcat-6814882-bottom-roller,Undercarriage part detail + machine fitment
UP-0023,2,YES,High,Bobcat,roller,bottom,6814890,,6814890,"Bobcat 337, 341, 435 bottom rollers","337, 341, 435",,,,,,Tier 2 - Sales-team researched master,undercarriage_bottom_rollers_sprockets_master_v3.xlsx,https://store.rubbertrax.com/Bobcat-sup-sup-models-337-341-435-Bottom-Roller-p264.htm,"Sales-team researched. Verify fine details such as serial split, chassis mount, flange style before using hard fitment claims.",Bobcat Bottom Roller 6814890 for Bobcat 337,Bobcat Bottom Roller 6814890 for Bobcat 337,"In-stock Bobcat Bottom Roller 6814890 for Bobcat 337. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by part number, m",bobcat-6814890-bottom-roller,Undercarriage part detail + machine fitment
UP-0022,2,YES,High,Bobcat,roller,bottom,7004933,,7004933,"Bobcat E80, E85 bottom rollers","E80, E85",,,,,,Tier 2 - Sales-team researched master,undercarriage_bottom_rollers_sprockets_master_v3.xlsx,https://www.rubbertrax.com/rollers,"Sales-team researched. Verify fine details such as serial split, chassis mount, flange style before using hard fitment claims.",Bobcat Bottom Roller 7004933 for Bobcat E80,Bobcat Bottom Roller 7004933 for Bobcat E80,"In-stock Bobcat Bottom Roller 7004933 for Bobcat E80. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by part number, m",bobcat-7004933-bottom-roller,Undercarriage part detail + machine fitment
UP-0020,2,YES,High,Bobcat,roller,bottom,7013575,,7013575,"Bobcat E26, E32, E37, E42 bottom rollers","E26, E32, E37, E42",,,,,,Tier 2 - Sales-team researched master,undercarriage_bottom_rollers_sprockets_master_v3.xlsx,https://store.rubbertrax.com/Bobcat-sup-sup-7013575-E26-E32-E42-Bottom-Rollers-p686.htm,Premium aftermarket roller,Bobcat Bottom Roller 7013575 for Bobcat E26,Bobcat Bottom Roller 7013575 for Bobcat E26,"In-stock Bobcat Bottom Roller 7013575 for Bobcat E26. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by part number, m",bobcat-7013575-bottom-roller,Undercarriage part detail + machine fitment
UP-0021,2,YES,High,Bobcat,roller,bottom,7022649,,7022649,"Bobcat E60, E63 bottom rollers","E60, E63",,,,,,Tier 2 - Sales-team researched master,undercarriage_bottom_rollers_sprockets_master_v3.xlsx,https://www.rubbertrax.com/rollers,"Sales-team researched. Verify fine details such as serial split, chassis mount, flange style before using hard fitment claims.",Bobcat Bottom Roller 7022649 for Bobcat E60,Bobcat Bottom Roller 7022649 for Bobcat E60,"In-stock Bobcat Bottom Roller 7022649 for Bobcat E60. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by part number, m",bobcat-7022649-bottom-roller,Undercarriage part detail + machine fitment
UP-0011,2,YES,High,Bobcat,roller,bottom,7111447,,7111447,Bobcat T110 compact track loader bottom roller,T110,,,,,,Tier 2 - Sales-team researched master,undercarriage_bottom_rollers_sprockets_master_v3.xlsx,https://www.rubbertrax.com/rollers,From Rubbertrax rollers table,Bobcat Bottom Roller 7111447 for Bobcat T110,Bobcat Bottom Roller 7111447 for Bobcat T110,"In-stock Bobcat Bottom Roller 7111447 for Bobcat T110. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by part number, ",bobcat-7111447-bottom-roller,Undercarriage part detail + machine fitment
UP-0019,2,YES,High,Bobcat,roller,bottom,7165324,,7165324,"Bobcat E08, E10, 418 bottom rollers","E08, E10, 418",,,,,,Tier 2 - Sales-team researched master,undercarriage_bottom_rollers_sprockets_master_v3.xlsx,https://www.rubbertrax.com/rollers,"Sales-team researched. Verify fine details such as serial split, chassis mount, flange style before using hard fitment claims.",Bobcat Bottom Roller 7165324 for Bobcat E08,Bobcat Bottom Roller 7165324 for Bobcat E08,"In-stock Bobcat Bottom Roller 7165324 for Bobcat E08. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by part number, m",bobcat-7165324-bottom-roller,Undercarriage part detail + machine fitment
UP-0014,2,YES,High,Bobcat,roller,bottom,7233399,,7233399,Bobcat T550 / T590 bottom rollers,"T550, T590",,,,,,Tier 2 - Sales-team researched master,undercarriage_bottom_rollers_sprockets_master_v3.xlsx,https://www.rubbertrax.com/rollers,"Sales-team researched. Verify fine details such as serial split, chassis mount, flange style before using hard fitment claims.",Bobcat Bottom Roller 7233399 for Bobcat T550,Bobcat Bottom Roller 7233399 for Bobcat T550,"In-stock Bobcat Bottom Roller 7233399 for Bobcat T550. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by part number, ",bobcat-7233399-bottom-roller,Undercarriage part detail + machine fitment
UP-0089,2,YES,High,Bobcat,sprocket,drive,7107787,7165109,7107787,Bobcat T630 drive sprocket (also replaces 7165109),T630,,,,,,Tier 2 - Sales-team researched master,undercarriage_bottom_rollers_sprockets_master_v3.xlsx,https://unitedskidtracks.com/bobcat/bobcat-t630-sprocket/,"Sales-team researched. Verify fine details such as serial split, chassis mount, flange style before using hard fitment claims.",Bobcat Drive Sprocket 7107787 for Bobcat T630,Bobcat Drive Sprocket 7107787 for Bobcat T630,"In-stock Bobcat Drive Sprocket 7107787 for Bobcat T630. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by part number,",bobcat-7107787-drive-sprocket,Undercarriage part detail + machine fitment
UP-0033,2,YES,High,CAT,roller,bottom,139-6261,,139-6261,"Caterpillar 301.6, 301.8, 301.5 bottom rollers","301.6, 301.8, 301.5",,,,,,Tier 2 - Sales-team researched master,undercarriage_bottom_rollers_sprockets_master_v3.xlsx,https://www.rubbertrax.com/rollers,"Sales-team researched. Verify fine details such as serial split, chassis mount, flange style before using hard fitment claims.",CAT Bottom Roller 139-6261 for CAT 301.6,CAT Bottom Roller 139-6261 for CAT 301.6,"In-stock CAT Bottom Roller 139-6261 for CAT 301.6. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by part number, mach",cat-139-6261-bottom-roller,Undercarriage part detail + machine fitment
UP-0037,2,YES,High,CAT,roller,bottom,158-4765,340-8957|333-5606,158-4765,"Caterpillar 304.5, 305.5, 304CR, 305CR bottom rollers","304.5, 305.5, 304CR, 305CR",,,,,,Tier 2 - Sales-team researched master,undercarriage_bottom_rollers_sprockets_master_v3.xlsx,https://store.rubbertrax.com/Caterpillar-304-5-305-5-Bottom-Roller-158-4765-p404.htm,"Sales-team researched. Verify fine details such as serial split, chassis mount, flange style before using hard fitment claims.",CAT Bottom Roller 158-4765 for CAT 304.5,CAT Bottom Roller 158-4765 for CAT 304.5,"In-stock CAT Bottom Roller 158-4765 for CAT 304.5. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by part number, mach",cat-158-4765-bottom-roller,Undercarriage part detail + machine fitment
UP-0034,2,YES,High,CAT,roller,bottom,185-7280,,185-7280,"Caterpillar 303.5, 302.5, 303CR bottom rollers","303.5, 302.5, 303CR",,,,,,Tier 2 - Sales-team researched master,undercarriage_bottom_rollers_sprockets_master_v3.xlsx,https://www.rubbertrax.com/rollers,"Sales-team researched. Verify fine details such as serial split, chassis mount, flange style before using hard fitment claims.",CAT Bottom Roller 185-7280 for CAT 303.5,CAT Bottom Roller 185-7280 for CAT 303.5,"In-stock CAT Bottom Roller 185-7280 for CAT 303.5. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by part number, mach",cat-185-7280-bottom-roller,Undercarriage part detail + machine fitment
UP-0090,2,YES,High,CAT,roller,bottom,1857280,9078302,1857280,Caterpillar 303.5 / 302.5 / 303CR bottom roller (alternative Trek number 1857280 / 09078302),"303.5, 302.5, 303CR",,,,,,Tier 2 - Sales-team researched master,undercarriage_bottom_rollers_sprockets_master_v3.xlsx,https://www.tracksnteeth.com/1857280-bottom-roller,"Sales-team researched. Verify fine details such as serial split, chassis mount, flange style before using hard fitment claims.",CAT Bottom Roller 1857280 for CAT 303.5,CAT Bottom Roller 1857280 for CAT 303.5,"In-stock CAT Bottom Roller 1857280 for CAT 303.5. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by part number, machi",cat-1857280-bottom-roller,Undercarriage part detail + machine fitment
UP-0038,2,YES,High,CAT,roller,bottom,265-7674,,265-7674,"Caterpillar 304CCR, 305CCR bottom rollers","304CCR, 305CCR",,,,,,Tier 2 - Sales-team researched master,undercarriage_bottom_rollers_sprockets_master_v3.xlsx,https://www.rubbertrax.com/rollers,"Sales-team researched. Verify fine details such as serial split, chassis mount, flange style before using hard fitment claims.",CAT Bottom Roller 265-7674 for CAT 304CCR,CAT Bottom Roller 265-7674 for CAT 304CCR,"In-stock CAT Bottom Roller 265-7674 for CAT 304CCR. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by part number, mac",cat-265-7674-bottom-roller,Undercarriage part detail + machine fitment
UP-0035,2,YES,High,CAT,roller,bottom,266-8793,,266-8793,"Caterpillar 303.5ECR, 303ECR, 303.5E2CR, 302.5C, 304ECR, 304DCR, 303.5DCR, 303.5CCR, 304E2CR, 303CCR bottom rollers","303.5ECR, 303ECR, 303.5E2CR, 302.5C, 304ECR, 304DCR, 303.5DCR, 303.5CCR, 304E2CR, 303CCR",,,,,,Tier 2 - Sales-team researched master,undercarriage_bottom_rollers_sprockets_master_v3.xlsx,https://www.rubbertrax.com/rollers,"Sales-team researched. Verify fine details such as serial split, chassis mount, flange style before using hard fitment claims.",CAT Bottom Roller 266-8793 for CAT 303.5ECR,CAT Bottom Roller 266-8793 for CAT 303.5ECR,"In-stock CAT Bottom Roller 266-8793 for CAT 303.5ECR. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by part number, m",cat-266-8793-bottom-roller,Undercarriage part detail + machine fitment
UP-0040,2,YES,High,CAT,roller,bottom,372-5926,527-3878,372-5926,Caterpillar 300.9D bottom roller (superseded by 527-3878),300.9D,,,,,,Tier 2 - Sales-team researched master,undercarriage_bottom_rollers_sprockets_master_v3.xlsx,https://store.rubbertrax.com/Caterpillar-300-9D-Bottom-Roller-527-3878-p3246.htm,Dealer PN 372-5926 superseded by 527-3878,CAT Bottom Roller 372-5926 for CAT 300.9D,CAT Bottom Roller 372-5926 for CAT 300.9D,"In-stock CAT Bottom Roller 372-5926 for CAT 300.9D. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by part number, mac",cat-372-5926-bottom-roller,Undercarriage part detail + machine fitment
UP-0032,2,YES,High,CAT,roller,bottom,381-3040,,381-3040,Caterpillar 301.4C bottom roller,301.4C,,,,,,Tier 2 - Sales-team researched master,undercarriage_bottom_rollers_sprockets_master_v3.xlsx,https://www.rubbertrax.com/rollers,"Sales-team researched. Verify fine details such as serial split, chassis mount, flange style before using hard fitment claims.",CAT Bottom Roller 381-3040 for CAT 301.4C,CAT Bottom Roller 381-3040 for CAT 301.4C,"In-stock CAT Bottom Roller 381-3040 for CAT 301.4C. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by part number, mac",cat-381-3040-bottom-roller,Undercarriage part detail + machine fitment
UP-0036,2,YES,High,CAT,roller,bottom,386-0791,,386-0791,Caterpillar 302.7DCR bottom roller,302.7DCR,,,,,,Tier 2 - Sales-team researched master,undercarriage_bottom_rollers_sprockets_master_v3.xlsx,https://www.rubbertrax.com/rollers,"Sales-team researched. Verify fine details such as serial split, chassis mount, flange style before using hard fitment claims.",CAT Bottom Roller 386-0791 for CAT 302.7DCR,CAT Bottom Roller 386-0791 for CAT 302.7DCR,"In-stock CAT Bottom Roller 386-0791 for CAT 302.7DCR. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by part number, m",cat-386-0791-bottom-roller,Undercarriage part detail + machine fitment
UP-0039,2,YES,High,CAT,roller,bottom,422-0837,,422-0837,Caterpillar 305E2 bottom roller,3.05E+04,,,,,,Tier 2 - Sales-team researched master,undercarriage_bottom_rollers_sprockets_master_v3.xlsx,https://www.rubbertrax.com/rollers,"Sales-team researched. Verify fine details such as serial split, chassis mount, flange style before using hard fitment claims.",CAT Bottom Roller 422-0837 for CAT 305E2,CAT Bottom Roller 422-0837 for CAT 305E2,"In-stock CAT Bottom Roller 422-0837 for CAT 305E2. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by part number, mach",cat-422-0837-bottom-roller,Undercarriage part detail + machine fitment
UP-0052,2,YES,High,John Deere,roller,bottom,4340535,,4340535,"John Deere 27ZTS, 35ZTS bottom rollers","27ZTS, 35ZTS",,,,,,Tier 2 - Sales-team researched master,undercarriage_bottom_rollers_sprockets_master_v3.xlsx,https://www.rubbertrax.com/rollers,"Sales-team researched. Verify fine details such as serial split, chassis mount, flange style before using hard fitment claims.",John Deere Bottom Roller 4340535 for John Deere 27ZTS,John Deere Bottom Roller 4340535 for John Deere 27ZTS,In-stock John Deere Bottom Roller 4340535 for John Deere 27ZTS. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by part,john-deere-4340535-bottom-roller,Undercarriage part detail + machine fitment
